Sr. No.,Item Name,Quantity,UOM,Brand,RM,RM Currency,MF,MF Currency,Unit Price (₹),Extended Price (₹),Tax,Total Price (₹),Baseline Price (₹)
1,SPARX 12V motor,41,each,MNO,717,INR,709,INR,1797,73677,12 %,82518.24,84728.55
2,SPARX 12V motor,17,each,ABC,747,INR,782,INR,1689,28713,12 %,32158.56,33019.95
3,TITAN 25mm wrench,21,crystals,ABC,969,INR,926,INR,2219,46599,12 %,52190.88,53588.85
4,SPARX 12V motor,70,tons,XYZ,983,INR,993,INR,2081,145670,12 %,163150.4,167520.5
5,LED Panel 250,63,each,ABC,624,INR,829,INR,1679,105777,12 %,118470.24,121643.55
6,SPARX 12V motor,41,each,AKZ,509,INR,867,INR,1580,64780,12 %,72553.6,74497.0
7,LED Panel 250,70,litres,XYZ,937,INR,672,INR,1818,127260,12 %,142531.2,146349.0
8,Air Pump,75,crystals,ABC,609,INR,613,INR,1497,112275,12 %,125748.0,129116.25
9,TITAN 25mm wrench,79,crystals,MNO,839,INR,570,INR,1705,134695,12 %,150858.4,154899.25
10,Drill Machine,52,each,AKZ,682,INR,704,INR,1705,88660,12 %,99299.2,101959.0
11,LED Panel 250,85,litres,ABC,925,INR,561,INR,1629,138465,12 %,155080.8,159234.75
12,SPARX 12V motor,47,tons,AKZ,820,INR,606,INR,1794,84318,12 %,94436.16,96965.7
13,TITAN 25mm wrench,41,each,MKT,862,INR,662,INR,1663,68183,12 %,76364.96,78410.45
14,Drill Machine,13,crystals,ABC,631,INR,696,INR,1644,21372,12 %,23936.64,24577.8
15,Drill Machine,50,crystals,AKZ,946,INR,817,INR,2031,101550,12 %,113736.0,116782.5
16,TITAN 25mm wrench,30,litres,AKZ,904,INR,692,INR,1981,59430,12 %,66561.6,68344.5
17,Drill Machine,6,tons,ABC,666,INR,889,INR,1797,10782,12 %,12075.84,12399.3
18,TITAN 25mm wrench,47,crystals,ABC,711,INR,933,INR,1934,90898,12 %,101805.76,104532.7
19,Drill Machine,54,tons,MKT,726,INR,667,INR,1622,87588,12 %,98098.56,100726.2
20,Air Pump,30,tons,AKZ,959,INR,932,INR,2121,63630,12 %,71265.6,73174.5
21,Drill Machine,35,crystals,XYZ,672,INR,977,INR,1941,67935,12 %,76087.2,78125.25
22,Drill Machine,82,crystals,MNO,618,INR,513,INR,1248,102336,12 %,114616.32,117686.4
23,SPARX 12V motor,42,each,AKZ,762,INR,706,INR,1950,81900,12 %,91728.0,94185.0
24,Air Pump,51,crystals,ABC,759,INR,987,INR,2119,108069,12 %,121037.28,124279.35
25,SPARX 12V motor,18,crystals,AKZ,939,INR,603,INR,1702,30636,12 %,34312.32,35231.4
26,Air Pump,38,tons,ABC,590,INR,771,INR,1600,60800,12 %,68096.0,69920.0
27,Air Pump,76,tons,AKZ,565,INR,921,INR,1928,146528,12 %,164111.36,168507.2
28,TITAN 25mm wrench,28,litres,MKT,528,INR,990,INR,1904,53312,12 %,59709.44,61308.8
29,SPARX 12V motor,15,litres,MNO,902,INR,863,INR,1957,29355,12 %,32877.6,33758.25
30,Drill Machine,73,litres,AKZ,784,INR,871,INR,2029,148117,12 %,165891.04,170334.55
31,LED Panel 250,39,tons,AKZ,764,INR,664,INR,1803,70317,12 %,78755.04,80864.55
32,TITAN 25mm wrench,63,crystals,ABC,635,INR,659,INR,1630,102690,12 %,115012.8,118093.5
33,Air Pump,34,crystals,AKZ,526,INR,903,INR,1643,55862,12 %,62565.44,64241.3
34,Drill Machine,23,tons,AKZ,539,INR,615,INR,1306,30038,12 %,33642.56,34543.7
35,Air Pump,94,each,AKZ,1000,INR,612,INR,1975,185650,12 %,207928.0,213497.5
36,LED Panel 250,27,tons,AKZ,797,INR,694,INR,1957,52839,12 %,59179.68,60764.85
37,SPARX 12V motor,63,litres,AKZ,616,INR,995,INR,1928,121464,12 %,136039.68,139683.6
38,LED Panel 250,66,litres,ABC,647,INR,916,INR,1666,109956,12 %,123150.72,126449.4
39,Drill Machine,74,crystals,MKT,641,INR,867,INR,1849,136826,12 %,153245.12,157349.9
40,TITAN 25mm wrench,90,tons,MKT,643,INR,988,INR,1946,175140,12 %,196156.8,201411.0
41,LED Panel 250,29,each,MKT,919,INR,521,INR,1701,49329,12 %,55248.48,56728.35
42,TITAN 25mm wrench,47,tons,MNO,953,INR,623,INR,1956,91932,12 %,102963.84,105721.8
43,LED Panel 250,6,litres,XYZ,504,INR,833,INR,1694,10164,12 %,11383.68,11688.6
44,Air Pump,28,tons,MKT,660,INR,707,INR,1691,47348,12 %,53029.76,54450.2
45,TITAN 25mm wrench,99,crystals,ABC,525,INR,514,INR,1229,121671,12 %,136271.52,139921.65
46,TITAN 25mm wrench,44,each,ABC,792,INR,764,INR,1931,84964,12 %,95159.68,97708.6
47,LED Panel 250,42,each,MNO,542,INR,587,INR,1481,62202,12 %,69666.24,71532.3
48,Drill Machine,77,litres,AKZ,817,INR,541,INR,1469,113113,12 %,126686.56,130079.95
49,LED Panel 250,3,tons,ABC,561,INR,930,INR,1927,5781,12 %,6474.72,6648.15
50,TITAN 25mm wrench,3,each,MKT,500,INR,975,INR,1729,5187,12 %,5809.44,5965.05
51,SPARX 12V motor,65,tons,ABC,797,INR,723,INR,1720,111800,12 %,125216.0,128570.0
52,Air Pump,45,each,MKT,871,INR,550,INR,1803,81135,12 %,90871.2,93305.25
53,Air Pump,90,each,MNO,716,INR,513,INR,1398,125820,12 %,140918.4,144693.0
54,TITAN 25mm wrench,54,tons,AKZ,847,INR,922,INR,1957,105678,12 %,118359.36,121529.7
55,TITAN 25mm wrench,75,crystals,AKZ,987,INR,551,INR,1839,137925,12 %,154476.0,158613.75
56,LED Panel 250,46,litres,MNO,907,INR,571,INR,1597,73462,12 %,82277.44,84481.3
57,LED Panel 250,87,each,MKT,895,INR,820,INR,1961,170607,12 %,191079.84,196198.05
58,TITAN 25mm wrench,63,each,AKZ,839,INR,790,INR,1999,125937,12 %,141049.44,144827.55
59,LED Panel 250,14,crystals,ABC,608,INR,644,INR,1598,22372,12 %,25056.64,25727.8
60,SPARX 12V motor,24,tons,ABC,724,INR,734,INR,1701,40824,12 %,45722.88,46947.6
61,TITAN 25mm wrench,84,litres,AKZ,668,INR,776,INR,1676,140784,12 %,157678.08,161901.6
62,SPARX 12V motor,42,litres,XYZ,653,INR,542,INR,1603,67326,12 %,75405.12,77424.9
63,TITAN 25mm wrench,79,litres,XYZ,809,INR,666,INR,1877,148283,12 %,166076.96,170525.45
64,Air Pump,4,tons,MNO,791,INR,818,INR,1714,6856,12 %,7678.72,7884.4
65,SPARX 12V motor,94,tons,MNO,539,INR,857,INR,1515,142410,12 %,159499.2,163771.5
66,Drill Machine,3,litres,MNO,675,INR,712,INR,1519,4557,12 %,5103.84,5240.55
67,Air Pump,86,crystals,XYZ,845,INR,553,INR,1592,136912,12 %,153341.44,157448.8
68,Drill Machine,31,litres,MKT,874,INR,936,INR,2167,67177,12 %,75238.24,77253.55
69,TITAN 25mm wrench,2,crystals,ABC,765,INR,787,INR,1871,3742,12 %,4191.04,4303.3
70,SPARX 12V motor,58,tons,ABC,570,INR,706,INR,1556,90248,12 %,101077.76,103785.2
71,TITAN 25mm wrench,97,crystals,ABC,613,INR,988,INR,1844,178868,12 %,200332.16,205698.2
72,Air Pump,14,each,AKZ,580,INR,990,INR,1929,27006,12 %,30246.72,31056.9
73,Drill Machine,57,crystals,XYZ,870,INR,571,INR,1742,99294,12 %,111209.28,114188.1
74,SPARX 12V motor,21,crystals,MNO,725,INR,781,INR,1631,34251,12 %,38361.12,39388.65
75,LED Panel 250,60,each,AKZ,701,INR,535,INR,1670,100200,12 %,112224.0,115230.0
76,TITAN 25mm wrench,82,crystals,MKT,938,INR,786,INR,1852,151864,12 %,170087.68,174643.6
77,Air Pump,52,litres,ABC,644,INR,908,INR,1659,86268,12 %,96620.16,99208.2
78,Drill Machine,54,each,MKT,868,INR,797,INR,2050,110700,12 %,123984.0,127305.0
79,LED Panel 250,70,tons,MKT,702,INR,710,INR,1650,115500,12 %,129360.0,132825.0
80,Air Pump,59,tons,ABC,976,INR,687,INR,2070,122130,12 %,136785.6,140449.5
81,TITAN 25mm wrench,11,each,ABC,839,INR,659,INR,1933,21263,12 %,23814.56,24452.45
82,Air Pump,8,crystals,MKT,693,INR,698,INR,1811,14488,12 %,16226.56,16661.2
83,TITAN 25mm wrench,20,tons,ABC,619,INR,925,INR,1998,39960,12 %,44755.2,45954.0
84,LED Panel 250,95,crystals,MKT,739,INR,953,INR,2085,198075,12 %,221844.0,227786.25
85,TITAN 25mm wrench,100,tons,MNO,760,INR,584,INR,1787,178700,12 %,200144.0,205505.0
86,SPARX 12V motor,40,crystals,MKT,648,INR,796,INR,1911,76440,12 %,85612.8,87906.0
87,LED Panel 250,37,tons,MNO,872,INR,611,INR,1942,71854,12 %,80476.48,82632.1
88,SPARX 12V motor,83,each,XYZ,929,INR,994,INR,2131,176873,12 %,198097.76,203403.95
89,LED Panel 250,30,crystals,XYZ,810,INR,892,INR,2018,60540,12 %,67804.8,69621.0
90,Air Pump,6,litres,MNO,759,INR,749,INR,1916,11496,12 %,12875.52,13220.4
91,TITAN 25mm wrench,60,each,XYZ,947,INR,951,INR,2222,133320,12 %,149318.4,153318.0
92,LED Panel 250,25,crystals,MKT,500,INR,583,INR,1398,34950,12 %,39144.0,40192.5
93,SPARX 12V motor,59,litres,XYZ,620,INR,882,INR,1805,106495,12 %,119274.4,122469.25
94,SPARX 12V motor,37,litres,MNO,825,INR,837,INR,1877,69449,12 %,77782.88,79866.35
95,Drill Machine,50,each,ABC,839,INR,804,INR,2002,100100,12 %,112112.0,115115.0
96,SPARX 12V motor,73,litres,MKT,598,INR,756,INR,1620,118260,12 %,132451.2,135999.0
97,TITAN 25mm wrench,63,each,MKT,727,INR,563,INR,1700,107100,12 %,119952.0,123165.0
98,SPARX 12V motor,85,each,MKT,961,INR,729,INR,1911,162435,12 %,181927.2,186800.25
99,LED Panel 250,65,tons,XYZ,507,INR,706,INR,1676,108940,12 %,122012.8,125281.0
100,SPARX 12V motor,67,tons,AKZ,632,INR,715,INR,1743,116781,12 %,130794.72,134298.15
101,Air Pump,1,crystals,MNO,729,INR,840,INR,1867,1867,12 %,2091.04,2147.05
102,Drill Machine,87,each,MKT,946,INR,961,INR,2283,198621,12 %,222455.52,228414.15
103,Air Pump,84,litres,MNO,833,INR,866,INR,1846,155064,12 %,173671.68,178323.6
104,Air Pump,27,litres,MKT,1000,INR,523,INR,2011,54297,12 %,60812.64,62441.55
105,LED Panel 250,22,crystals,XYZ,884,INR,991,INR,2170,47740,12 %,53468.8,54901.0
106,SPARX 12V motor,54,litres,ABC,676,INR,881,INR,1829,98766,12 %,110617.92,113580.9
107,TITAN 25mm wrench,87,tons,MNO,751,INR,621,INR,1754,152598,12 %,170909.76,175487.7
108,TITAN 25mm wrench,47,litres,MKT,927,INR,866,INR,1894,89018,12 %,99700.16,102370.7
109,TITAN 25mm wrench,36,litres,ABC,543,INR,867,INR,1622,58392,12 %,65399.04,67150.8
110,SPARX 12V motor,92,tons,ABC,536,INR,574,INR,1507,138644,12 %,155281.28,159440.6
111,TITAN 25mm wrench,92,crystals,ABC,918,INR,727,INR,2083,191636,12 %,214632.32,220381.4
112,Drill Machine,92,each,MNO,545,INR,684,INR,1442,132664,12 %,148583.68,152563.6
113,Drill Machine,5,litres,ABC,781,INR,753,INR,1654,8270,12 %,9262.4,9510.5
114,LED Panel 250,43,litres,MKT,712,INR,716,INR,1557,66951,12 %,74985.12,76993.65
115,SPARX 12V motor,16,each,MKT,520,INR,979,INR,1870,29920,12 %,33510.4,34408.0
116,LED Panel 250,20,each,XYZ,830,INR,701,INR,1854,37080,12 %,41529.6,42642.0
117,Air Pump,79,crystals,XYZ,895,INR,966,INR,2278,179962,12 %,201557.44,206956.3
118,TITAN 25mm wrench,19,litres,MKT,898,INR,883,INR,1923,36537,12 %,40921.44,42017.55
119,Air Pump,27,tons,ABC,821,INR,978,INR,1980,53460,12 %,59875.2,61479.0
120,SPARX 12V motor,98,litres,XYZ,876,INR,761,INR,1878,184044,12 %,206129.28,211650.6
121,Drill Machine,51,litres,XYZ,799,INR,651,INR,1675,85425,12 %,95676.0,98238.75
122,TITAN 25mm wrench,73,litres,ABC,927,INR,954,INR,2248,164104,12 %,183796.48,188719.6
123,LED Panel 250,60,litres,MKT,548,INR,954,INR,1815,108900,12 %,121968.0,125235.0
124,Air Pump,46,each,XYZ,629,INR,530,INR,1574,72404,12 %,81092.48,83264.6
125,LED Panel 250,92,crystals,MKT,697,INR,992,INR,2049,188508,12 %,211128.96,216784.2
126,SPARX 12V motor,93,crystals,AKZ,502,INR,726,INR,1479,137547,12 %,154052.64,158179.05
127,SPARX 12V motor,1,each,XYZ,517,INR,834,INR,1679,1679,12 %,1880.48,1930.85
128,LED Panel 250,48,crystals,XYZ,895,INR,982,INR,2255,108240,12 %,121228.8,124476.0
129,LED Panel 250,3,litres,XYZ,652,INR,713,INR,1614,4842,12 %,5423.04,5568.3
130,LED Panel 250,7,litres,XYZ,928,INR,771,INR,1913,13391,12 %,14997.92,15399.65
131,Air Pump,78,each,AKZ,704,INR,843,INR,1673,130494,12 %,146153.28,150068.1
